legal_code,legal_name,region_group,total_units,frame_population_dongs,frame_screened_dongs,frame_sampling_probability,frame_weight,rank_pct,size_stratum,stage2_probability,sampling_probability,sampling_weight,expected_pages_from_csv
1114016200,서울특별시 중구 신당동,서울,34170,467,120,0.2569593147751606,3.8916666666666666,0.8313953488372093,high,0.13793103448275862,0.0354426641069187,28.214583333333334,35
1123010500,서울특별시 동대문구 답십리동,서울,30215,467,120,0.2569593147751606,3.8916666666666666,0.7732558139534884,high,0.13793103448275862,0.0354426641069187,28.214583333333334,31
1126010100,서울특별시 중랑구 면목동,서울,61304,467,120,0.2569593147751606,3.8916666666666666,0.936046511627907,high,0.13793103448275862,0.0354426641069187,28.214583333333334,62
1171010300,서울특별시 송파구 풍납동,서울,18698,467,120,0.2569593147751606,3.8916666666666666,0.6918604651162791,high,0.13793103448275862,0.0354426641069187,28.214583333333334,19
1111010900,서울특별시 종로구 누상동,서울,2210,467,120,0.2569593147751606,3.8916666666666666,0.21511627906976744,low,0.13793103448275862,0.0354426641069187,28.214583333333334,3
1111018100,서울특별시 종로구 행촌동,서울,3294,467,120,0.2569593147751606,3.8916666666666666,0.31976744186046513,low,0.13793103448275862,0.0354426641069187,28.214583333333334,4
1114015400,서울특별시 중구 오장동,서울,558,467,120,0.2569593147751606,3.8916666666666666,0.0872093023255814,low,0.13793103448275862,0.0354426641069187,28.214583333333334,1
1156012000,서울특별시 영등포구 문래동2가,서울,780,467,120,0.2569593147751606,3.8916666666666666,0.13372093023255813,low,0.13793103448275862,0.0354426641069187,28.214583333333334,1
1117013000,서울특별시 용산구 이태원동,서울,6959,467,120,0.2569593147751606,3.8916666666666666,0.47093023255813954,mid,0.14285714285714285,0.03670847353930865,27.241666666666667,7
1141011000,서울특별시 서대문구 북아현동,서울,14556,467,120,0.2569593147751606,3.8916666666666666,0.5988372093023255,mid,0.14285714285714285,0.03670847353930865,27.241666666666667,15
1144012000,서울특별시 마포구 서교동,서울,13246,467,120,0.2569593147751606,3.8916666666666666,0.5872093023255814,mid,0.14285714285714285,0.03670847353930865,27.241666666666667,14
1153010900,서울특별시 구로구 궁동,서울,10898,467,120,0.2569593147751606,3.8916666666666666,0.5406976744186046,mid,0.14285714285714285,0.03670847353930865,27.241666666666667,11
4122010100,경기도 평택시 서정동,수도권(경기·인천),31446,2280,120,0.0526315789473684,19.0,0.8921568627450981,high,0.23529411764705882,0.012383900928792563,80.75,32
4145010800,경기도 하남시 덕풍동,수도권(경기·인천),31724,2280,120,0.0526315789473684,19.0,0.9117647058823529,high,0.23529411764705882,0.012383900928792563,80.75,32
4159011700,경기도 화성시 병점동,수도권(경기·인천),20912,2280,120,0.0526315789473684,19.0,0.8333333333333334,high,0.23529411764705882,0.012383900928792563,80.75,21
4159013000,경기도 화성시 청계동,수도권(경기·인천),16445,2280,120,0.0526315789473684,19.0,0.7156862745098039,high,0.23529411764705882,0.012383900928792563,80.75,17
2811012300,인천광역시 중구 신생동,수도권(경기·인천),748,2280,120,0.0526315789473684,19.0,0.2647058823529412,low,0.23529411764705882,0.012383900928792563,80.75,1
4136025625,경기도 남양주시 화도읍 금남리,수도권(경기·인천),450,2280,120,0.0526315789473684,19.0,0.20588235294117646,low,0.23529411764705882,0.012383900928792563,80.75,1
4155013000,경기도 안성시 신모산동,수도권(경기·인천),100,2280,120,0.0526315789473684,19.0,0.00980392156862745,low,0.23529411764705882,0.012383900928792563,80.75,1
4161033021,경기도 광주시 도척면 노곡리,수도권(경기·인천),522,2280,120,0.0526315789473684,19.0,0.22549019607843138,low,0.23529411764705882,0.012383900928792563,80.75,1
4139012000,경기도 시흥시 하상동,수도권(경기·인천),4958,2280,120,0.0526315789473684,19.0,0.46078431372549017,mid,0.23529411764705882,0.012383900928792563,80.75,5
4145011400,경기도 하남시 감일동,수도권(경기·인천),8594,2280,120,0.0526315789473684,19.0,0.5392156862745098,mid,0.23529411764705882,0.012383900928792563,80.75,9
4150035025,경기도 이천시 대월면 초지리,수도권(경기·인천),1796,2280,120,0.0526315789473684,19.0,0.3627450980392157,mid,0.23529411764705882,0.012383900928792563,80.75,2
4155025026,경기도 안성시 공도읍 승두리,수도권(경기·인천),8272,2280,120,0.0526315789473684,19.0,0.5196078431372549,mid,0.23529411764705882,0.012383900928792563,80.75,9
2726010100,대구광역시 수성구 범어동,지방,40204,16111,120,0.0074483272298429,134.25833333333333,0.9772727272727273,high,0.5714285714285714,0.004256186988481657,234.95208333333332,41
4611016400,전라남도 목포시 옥암동,지방,35506,16111,120,0.0074483272298429,134.25833333333333,0.9318181818181818,high,0.5714285714285714,0.004256186988481657,234.95208333333332,36
4817012600,경상남도 진주시 평거동,지방,24154,16111,120,0.0074483272298429,134.25833333333333,0.8863636363636364,high,0.5714285714285714,0.004256186988481657,234.95208333333332,25
5011012900,제주특별자치도 제주시 도남동,지방,9274,16111,120,0.0074483272298429,134.25833333333333,0.7045454545454546,high,0.5714285714285714,0.004256186988481657,234.95208333333332,10
2711011000,대구광역시 중구 상서동,지방,168,16111,120,0.0074483272298429,134.25833333333333,0.06818181818181818,low,0.5714285714285714,0.004256186988481657,234.95208333333332,1
4711310900,경상북도 포항시 북구 대신동,지방,1158,16111,120,0.0074483272298429,134.25833333333333,0.29545454545454547,low,0.5714285714285714,0.004256186988481657,234.95208333333332,2
4728010900,경상북도 문경시 공평동,지방,408,16111,120,0.0074483272298429,134.25833333333333,0.20454545454545456,low,0.5714285714285714,0.004256186988481657,234.95208333333332,1
4817040022,경상남도 진주시 대곡면 광석리,지방,106,16111,120,0.0074483272298429,134.25833333333333,0.022727272727272728,low,0.5714285714285714,0.004256186988481657,234.95208333333332,1
3014011800,대전광역시 중구 사정동,지방,3530,16111,120,0.0074483272298429,134.25833333333333,0.5227272727272727,mid,0.5,0.00372416361492145,268.51666666666665,4
4380025027,충청북도 단양군 단양읍 상진리,지방,3130,16111,120,0.0074483272298429,134.25833333333333,0.4318181818181818,mid,0.5,0.00372416361492145,268.51666666666665,4
4874025022,경상남도 창녕군 창녕읍 교리,지방,1506,16111,120,0.0074483272298429,134.25833333333333,0.38636363636363635,mid,0.5,0.00372416361492145,268.51666666666665,2
5218010600,전북특별자치도 정읍시 농소동,지방,1442,16111,120,0.0074483272298429,134.25833333333333,0.3409090909090909,mid,0.5,0.00372416361492145,268.51666666666665,2
